deployment,precoder,x,mean_se,edge_se,energy_efficiency_bit_per_joule
collocated,mrt,-10.0,0.005127819851175763,5.690019614287466e-06,49276.34691820554
collocated,mrt,-5.0,0.010160428960614785,1.7993321908535078e-05,94567.46861892036
collocated,mrt,0.0,0.019189436930995264,5.689887989338934e-05,162450.25973329323
collocated,mrt,5.0,0.03539204126127975,0.00017992005754940973,232979.42312446516
collocated,mrt,10.0,0.06424654237498871,0.0005688572140055193,248295.81594198532
collocated,mrt,15.0,0.1157223551521439,0.0017978856875177248,193967.84070990287
collocated,mrt,20.0,0.20741688646257195,0.005675453565630621,124574.70658412733
collocated,zf,-10.0,0.005106608904085052,4.344566865801011e-06,49072.51799721371
collocated,zf,-5.0,0.01077573936826755,1.373868201342536e-05,100294.42639719482
collocated,zf,0.0,0.021373127559941932,4.344507992028309e-05,180936.52960797402
collocated,zf,5.0,0.04124670008619541,0.0001373809330222373,271519.5860257696
collocated,zf,10.0,0.07833658382522252,0.00043439193697038367,302750.08241631894
collocated,zf,15.0,0.14650230486014662,0.0013732209887689774,245559.60423883662
collocated,zf,20.0,0.26973701544177714,0.004338044818915619,162004.21347854487
distributed,mrt,-10.0,0.004979820470237719,4.1505679171578023e-05,40139.61084322596
distributed,mrt,-5.0,0.013881837669561468,0.00013124690599758805,108927.5135931877
distributed,mrt,0.0,0.03521688404073714,0.0004149834102558077,254963.86635827797
distributed,mrt,5.0,0.08120063683756895,0.0013117356493054068,472342.2656763672
distributed,mrt,10.0,0.17290821431631775,0.004142512739469742,620298.5266953104
distributed,mrt,15.0,0.3420234891300866,0.013041903624544667,554687.3582988472
distributed,mrt,20.0,0.6246235894485247,0.04069554491618899,370696.49225431733
distributed,zf,-10.0,0.004325848418201624,2.927651659679052e-05,34868.299592557174
distributed,zf,-5.0,0.012231776542885374,9.257844329696705e-05,95979.87221572742
distributed,zf,0.0,0.03173972925903892,0.0002927384344809331,229789.89508806457
distributed,zf,5.0,0.07532191098738047,0.0009255172040883883,438145.85053096875
distributed,zf,10.0,0.16617364946273974,0.002924714771043546,596138.6527811292
distributed,zf,15.0,0.3446732294710361,0.009228561787110656,558984.6580943597
distributed,zf,20.0,0.6705677549901407,0.028983711655541432,397963.05934132985
