deployment,precoder,x,mean_se,edge_se,energy_efficiency_bit_per_joule
collocated,mrt,0.0,0.06731031140463459,0.0005756147967744447,260136.4691966554
collocated,mrt,2.0,0.06723313968467585,0.0005751818384233341,259838.22100357822
collocated,mrt,5.0,0.0669536822216282,0.0005729730344837801,258758.1921608819
collocated,mrt,10.0,0.06605918552737965,0.0005592193218972241,255301.20010581505
collocated,mrt,20.0,0.06275511267995236,0.0005146272597199112,242531.83644426032
collocated,mrt,30.0,0.057714950004152034,0.00044101285828281045,223052.94687594994
collocated,mrt,45.0,0.048131384052054714,0.0003204575674242585,186015.01082919695
collocated,mrt,60.0,0.03847072311001867,0.00018286094016376546,148679.12313050695
collocated,zf,0.0,0.07593518835458074,0.0004264812546302681,293469.32697422506
collocated,zf,2.0,0.07576221233659577,0.0004271802138979124,292800.8206245247
collocated,zf,5.0,0.07500219241641347,0.00042429933311569437,289863.54557068006
collocated,zf,10.0,0.07276914697022857,0.0004135513454286567,281233.41824242927
collocated,zf,20.0,0.06631596148625363,0.0003820758825778412,256293.5709613667
collocated,zf,30.0,0.05848950879657609,0.00033396686103015364,226046.4108080235
collocated,zf,45.0,0.04610332700339221,0.00024156390448980592,178177.10919185396
collocated,zf,60.0,0.03531565956234505,0.0001297419974746155,136485.6408206572
distributed,mrt,0.0,0.18398041969682283,0.004219746164858579,660019.442858557
distributed,mrt,2.0,0.18397283439668755,0.004217513361078564,659992.2310195068
distributed,mrt,5.0,0.18385520996870852,0.004205730236170409,659570.2599774296
distributed,mrt,10.0,0.1833802586392147,0.004166217184259607,657866.398705703
distributed,mrt,20.0,0.18146061556299792,0.003909892594070123,650979.7867730868
distributed,mrt,30.0,0.17849459724668457,0.0034566227557296246,640339.3623199445
distributed,mrt,45.0,0.17299831481783698,0.0024087419464481133,620621.757194034
distributed,mrt,60.0,0.16763775206271325,0.001514726880164846,601391.0387900026
distributed,zf,0.0,0.18311212545597746,0.002740425461567366,656904.4859407262
distributed,zf,2.0,0.18309000084811067,0.002742209461963609,656825.1151501728
distributed,zf,5.0,0.18296431838233762,0.0027345312917904582,656374.2363491933
distributed,zf,10.0,0.1825143238506473,0.002704513253466002,654759.906190663
distributed,zf,20.0,0.1807943900765583,0.0025454827781031,648589.7401849626
distributed,zf,30.0,0.17821575703470663,0.0022226878945313245,639339.0386895305
distributed,zf,45.0,0.17352599648131942,0.0015756652165972145,622514.7855832088
distributed,zf,60.0,0.16898378494704983,0.0009913144313307783,606219.8563122862
